probe_cost,failure_penalty,irreversible_rate,method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
0.08,8.0,0.75,probe_all_local,10,65.264,0.0,272.8,65.264,154.1,-88.836
0.08,8.0,0.75,replan_on_failure,10,154.1,7.025,64.0,65.264,154.1,0.0
0.25,0.5,0.0,behavior_tree_fallback,10,68.0,0.0,208.0,68.0,82.0,-14.0
0.25,0.5,0.0,gcs_eager,10,68.0,0.0,273.0,68.0,82.0,-14.0
0.25,0.5,0.0,gcs_lazy,10,68.0,0.0,300.3,68.0,82.0,-14.0
0.25,0.5,0.0,oracle_assignment,10,64.0,0.0,64.0,68.0,82.0,-18.0
0.25,0.5,0.0,probe_all_local,10,68.0,0.0,273.0,68.0,82.0,-14.0
0.25,0.5,0.0,replan_on_failure,10,82.0,7.2,64.0,68.0,82.0,0.0
0.25,0.5,0.25,behavior_tree_fallback,10,67.9,0.0,207.6,67.9,82.625,-14.725
0.25,0.5,0.25,gcs_eager,10,67.9,0.0,272.6,67.9,82.625,-14.725
0.25,0.5,0.25,gcs_lazy,10,67.9,0.0,299.86,67.9,82.625,-14.725
0.25,0.5,0.25,oracle_assignment,10,64.0,0.0,64.0,67.9,82.625,-18.625
0.25,0.5,0.25,probe_all_local,10,67.9,0.0,272.6,67.9,82.625,-14.725
0.25,0.5,0.25,replan_on_failure,10,82.625,7.2875,64.0,67.9,82.625,0.0
0.25,0.5,0.5,behavior_tree_fallback,10,67.975,0.0,207.9,67.975,82.528125,-14.553125
0.25,0.5,0.5,gcs_eager,10,67.975,0.0,272.9,67.975,82.528125,-14.553125
0.25,0.5,0.5,gcs_lazy,10,67.975,0.0,300.19,67.975,82.528125,-14.553125
0.25,0.5,0.5,oracle_assignment,10,64.0,0.0,64.0,67.975,82.528125,-18.528125
0.25,0.5,0.5,probe_all_local,10,67.975,0.0,272.9,67.975,82.528125,-14.553125
0.25,0.5,0.5,replan_on_failure,10,82.528125,7.0625,64.0,67.975,82.528125,0.0
0.25,0.5,0.75,behavior_tree_fallback,10,67.95,0.0,207.8,67.95,82.275,-14.325
0.25,0.5,0.75,gcs_eager,10,67.95,0.0,272.8,67.95,82.275,-14.325
0.25,0.5,0.75,gcs_lazy,10,67.95,0.0,300.08,67.95,82.275,-14.325
0.25,0.5,0.75,oracle_assignment,10,64.0,0.0,64.0,67.95,82.275,-18.275
0.25,0.5,0.75,probe_all_local,10,67.95,0.0,272.8,67.95,82.275,-14.325
0.25,0.5,0.75,replan_on_failure,10,82.275,6.8375,64.0,67.95,82.275,0.0
